,Reference,CKmean,CKsd,CKn,Tmean,Tsd,Tn,Crop_classification,Film_type,Film_thickness_mm,Mulching_cycle,Mulching_method,Mulching_ratio（,Film_thickness_class_mm,Mulching_ratio_class_,name
47,8,14.3969264988373,3.30471160450899,9.0,16.4821554948944,2.46151640433617,9.0,Cash crop,Degradable,0.008,,Ridge-furrow mulching,60.0,0.003-0.008,50-100,Soil_Water_
165,19,34.1666666666667,1.69047619047619,3.0,38.6904761904762,1.26190476190476,3.0,Cash crop,Transparent PE,0.008,,Flat mulching,100.0,0.003-0.008,50-100,Soil_Water_
166,19,34.1666666666667,1.69047619047619,3.0,41.452380952381,1.40476190476191,3.0,Cash crop,Transparent PE,0.008,,Ridge-furrow mulching,50.0,0.003-0.008,29-50,Soil_Water_
167,19,34.1666666666667,1.69047619047619,3.0,47.0476190476191,2.4047619047619,3.0,Cash crop,Transparent PE,0.008,,Ridge-furrow mulching,100.0,0.003-0.008,50-100,Soil_Water_
168,19,42.6904761904762,2.30952380952381,3.0,48.2619047619048,1.5,3.0,Cash crop,Transparent PE,0.008,,Flat mulching,100.0,0.003-0.008,50-100,Soil_Water_
169,19,42.6904761904762,2.30952380952381,3.0,51.7857142857143,1.71428571428571,3.0,Cash crop,Transparent PE,0.008,,Ridge-furrow mulching,50.0,0.003-0.008,29-50,Soil_Water_
170,19,42.6904761904762,2.30952380952381,3.0,53.5476190476191,2.35714285714286,3.0,Cash crop,Transparent PE,0.008,,Ridge-furrow mulching,100.0,0.003-0.008,50-100,Soil_Water_
171,19,40.0476190476191,2.07142857142857,3.0,45.1190476190476,2.19047619047619,3.0,Cash crop,Transparent PE,0.008,,Flat mulching,100.0,0.003-0.008,50-100,Soil_Water_
172,19,40.0476190476191,2.07142857142857,3.0,49.1428571428571,0.547619047619048,3.0,Cash crop,Transparent PE,0.008,,Ridge-furrow mulching,50.0,0.003-0.008,29-50,Soil_Water_
173,19,40.0476190476191,2.07142857142857,3.0,51.3571428571429,2.28571428571429,3.0,Cash crop,Transparent PE,0.008,,Ridge-furrow mulching,100.0,0.003-0.008,50-100,Soil_Water_
174,20,14.7,1.22,3.0,18.89,1.76,3.0,Cereal crop,Transparent PE,0.008,Full growing season,,,0.003-0.008,,Soil_Water_
175,20,14.7,1.22,3.0,16.83,1.6,3.0,Cereal crop,Black PE,0.008,Full growing season,,,0.003-0.008,,Soil_Water_
176,20,22.38,0.940000000000001,3.0,21.92,0.93,3.0,Cereal crop,Transparent PE,0.008,Full growing season,,,0.003-0.008,,Soil_Water_
177,20,22.38,0.940000000000001,3.0,21.92,0.77,3.0,Cereal crop,Black PE,0.008,Full growing season,,,0.003-0.008,,Soil_Water_
178,21,18.35,2.97887003185212,4.0,23.355,2.81058119730899,4.0,Cereal crop,,,,,,,,Soil_Water_
181,21,23.865,1.84990990771623,4.0,25.25,1.24190713555134,4.0,Cereal crop,,,,,,,,Soil_Water_
193,24,12.2783882783883,7.45483792859654,5.0,14.8571428571429,7.34181444853688,5.0,Cereal crop,Transparent PE,,,,,,,Soil_Water_
194,24,18.1978021978022,9.03531663484417,5.0,21.1282051282051,8.61321644243314,5.0,Cereal crop,Transparent PE,,,,,,,Soil_Water_
195,24,24.5567765567765,10.0409605373787,5.0,26.9304029304029,9.68884895607181,5.0,Cereal crop,Transparent PE,,,,,,,Soil_Water_
207,27,22.3666666666667,3.69774706183826,12.0,27.4166666666667,4.90766253069135,12.0,Cash crop,Degradable,0.019,,,,0.015-0.400,,Soil_Water_
208,27,22.3666666666667,3.69774706183826,12.0,28.775,5.33242653275905,12.0,Cash crop,Degradable,0.015,,,,0.008-0.015,,Soil_Water_
215,28,2.41600353669319,0.538160775200726,5.0,2.86858974358974,0.681982803072372,5.0,Cereal crop,Transparent PE,,,Ridge-furrow mulching,100.0,,50-100,Soil_Water_
216,28,2.41600353669319,0.538160775200726,5.0,2.82603890362511,0.66024379745712,5.0,Cereal crop,Transparent PE,,,Ridge-furrow mulching,100.0,,50-100,Soil_Water_
217,28,2.41600353669319,0.538160775200726,5.0,2.63649425287356,0.622026259256091,5.0,Cereal crop,Transparent PE,,,Ridge-furrow mulching,80.0,,50-100,Soil_Water_
218,28,2.41600353669319,0.538160775200726,5.0,2.53978779840849,0.544587009472352,5.0,Cereal crop,Transparent PE,,,Flat mulching,65.0,,50-100,Soil_Water_
219,28,2.14909372236958,0.80801700567338,5.0,2.45855437665783,0.792591847202858,5.0,Cereal crop,Transparent PE,,,Ridge-furrow mulching,100.0,,50-100,Soil_Water_
220,28,2.14909372236958,0.80801700567338,5.0,2.43147656940761,0.791930803011787,5.0,Cereal crop,Transparent PE,,,Ridge-furrow mulching,100.0,,50-100,Soil_Water_
221,28,2.14909372236958,0.80801700567338,5.0,2.35024314765694,0.830032124003601,5.0,Cereal crop,Transparent PE,,,Ridge-furrow mulching,80.0,,50-100,Soil_Water_
222,28,2.14909372236958,0.80801700567338,5.0,2.36958443854996,0.787477992537452,5.0,Cereal crop,Transparent PE,,,Flat mulching,65.0,,50-100,Soil_Water_
223,29,16.6250944822373,4.06990069825034,6.0,17.1814058956916,3.92147555848829,6.0,Cereal crop,Transparent PE,0.008,,Ridge-furrow mulching,40.0,0.003-0.008,29-50,Soil_Water_
224,29,16.6250944822373,4.06990069825034,6.0,18.3465608465608,3.42925693740253,6.0,Cereal crop,Transparent PE,0.008,,Ridge-furrow mulching,100.0,0.003-0.008,50-100,Soil_Water_
225,29,13.8506296558731,4.18782164159401,15.0,14.8058545436823,4.45046729612899,15.0,Cereal crop,Transparent PE,0.008,,Ridge-furrow mulching,40.0,0.003-0.008,29-50,Soil_Water_
226,29,13.8506296558731,4.18782164159401,15.0,16.709720956912,4.77379277143622,15.0,Cereal crop,Transparent PE,0.008,,Ridge-furrow mulching,100.0,0.003-0.008,50-100,Soil_Water_
227,30,13.3841996502941,1.10900446558939,5.0,14.9260848831664,2.38475596752528,5.0,Cereal crop,Transparent PE,0.008,Whole year,Ridge-furrow mulching,,0.003-0.008,,Soil_Water_
228,30,14.1630901287554,1.3662464979869,5.0,18.756954379272,0.454489857113214,5.0,Cereal crop,Transparent PE,0.008,Whole year,Ridge-furrow mulching,,0.003-0.008,,Soil_Water_
231,31,12.9768418653491,6.088447927961,3.0,12.8818487436,6.07070414614825,3.0,Cereal crop,Transparent PE,0.008,,Ridge-furrow mulching,36.4,0.003-0.008,29-50,Soil_Water_
232,31,12.9768418653491,6.088447927961,3.0,12.7864160649893,5.59570832149739,3.0,Cereal crop,Transparent PE,0.008,,Ridge-furrow mulching,100.0,0.003-0.008,50-100,Soil_Water_
233,31,18.3833424229351,5.41422062221352,3.0,18.1299623120691,5.51567489538617,3.0,Cereal crop,Transparent PE,0.008,,Ridge-furrow mulching,36.4,0.003-0.008,29-50,Soil_Water_
234,31,18.3833424229351,5.41422062221352,3.0,18.2564081692457,5.34954687340242,3.0,Cereal crop,Transparent PE,0.008,,Ridge-furrow mulching,100.0,0.003-0.008,50-100,Soil_Water_
235,32,14.4424315619968,4.66241045015894,6.0,19.0792500575109,4.42544621972854,6.0,Cereal crop,Transparent PE,0.008,Seedling stage,Ridge-furrow mulching,,0.003-0.008,,Soil_Water_
236,32,14.4424315619968,4.66241045015894,6.0,16.9225902921555,3.66420661875278,6.0,Cereal crop,Transparent PE,0.008,Half growing season,Ridge-furrow mulching,,0.003-0.008,,Soil_Water_
237,32,14.4424315619968,4.66241045015894,6.0,16.7788129744652,3.01932367149756,6.0,Cereal crop,Transparent PE,0.008,Full growing season,Ridge-furrow mulching,,0.003-0.008,,Soil_Water_
238,32,12.37856346552,4.42199858782841,15.0,17.0130594043638,5.36300049986668,15.0,Cereal crop,Transparent PE,0.008,Seedling stage,Ridge-furrow mulching,,0.003-0.008,,Soil_Water_
239,32,12.37856346552,4.42199858782841,15.0,16.2645325688804,5.20077578164388,15.0,Cereal crop,Transparent PE,0.008,Half growing season,Ridge-furrow mulching,,0.003-0.008,,Soil_Water_
240,32,12.37856346552,4.42199858782841,15.0,16.0415671285236,4.88314750300358,15.0,Cereal crop,Transparent PE,0.008,Full growing season,Ridge-furrow mulching,,0.003-0.008,,Soil_Water_
241,33,19.3893805309734,7.40845928725305,5.0,20.6106194690266,8.11017408217596,5.0,Cereal crop,,,,,,,,Soil_Water_
242,33,16.6814159292035,5.44409645692297,5.0,19.6548672566372,2.30988708681302,5.0,Cereal crop,,,,,,,,Soil_Water_
287,38,7.25666666666667,1.42872689511942,3.0,8.21,1.39123430962343,3.0,Cereal crop,Transparent PE,0.008,,Ridge-furrow mulching,100.0,0.003-0.008,50-100,Soil_Water_
288,38,7.25666666666667,1.42872689511942,3.0,7.49833333333333,1.27063807531381,3.0,Cereal crop,Transparent PE,0.008,,Ridge-furrow mulching,70.0,0.003-0.008,50-100,Soil_Water_
289,38,11.9466666666667,2.35211630321911,3.0,16.1133333333333,2.73050209205021,3.0,Cereal crop,Transparent PE,0.008,,Ridge-furrow mulching,100.0,0.003-0.008,50-100,Soil_Water_
290,38,11.9466666666667,2.35211630321911,3.0,13.9673333333333,2.36684937238494,3.0,Cereal crop,Transparent PE,0.008,,Ridge-furrow mulching,70.0,0.003-0.008,50-100,Soil_Water_
291,38,11.9466666666667,2.35211630321911,3.0,13.1966666666667,2.23625523012552,3.0,Cereal crop,Transparent PE,0.008,,Flat mulching,70.0,0.003-0.008,50-100,Soil_Water_
292,38,11.9466666666667,2.35211630321911,3.0,14.5666666666667,2.468410041841,3.0,Cereal crop,Transparent PE,0.008,,Flat mulching,80.0,0.003-0.008,50-100,Soil_Water_
295,40,15.45,3.0418691588785,3.0,17.85,3.02479079497908,3.0,Cereal crop,Transparent PE,0.0075,,,,0.003-0.008,,Soil_Water_
296,40,11.575,2.27894080996885,3.0,14.475,2.45287656903766,3.0,Cereal crop,Transparent PE,0.0075,,,,0.003-0.008,,Soil_Water_
314,43,25.4,4.93659801887898,3.0,45.9,12.365678307315,3.0,Cash crop,Black PE,0.0075,,,,0.003-0.008,,Soil_Water_
315,43,25.4,4.93659801887898,3.0,41.9333333333333,11.963416457406,3.0,Cash crop,Transparent PE,0.0075,,,,0.003-0.008,,Soil_Water_
316,43,22.7333333333333,10.2734285091849,3.0,37.1,14.0342438342791,3.0,Cash crop,Black PE,0.0075,,,,0.003-0.008,,Soil_Water_
317,43,22.7333333333333,10.2734285091849,3.0,32.7,11.6807534003591,3.0,Cash crop,Transparent PE,0.0075,,,,0.003-0.008,,Soil_Water_
318,43,26.5,6.0770058416954,3.0,52.9333333333333,11.9968051302559,3.0,Cash crop,Black PE,0.0075,,,,0.003-0.008,,Soil_Water_
319,43,26.5,6.0770058416954,3.0,46.0,10.9890854942529,3.0,Cash crop,Transparent PE,0.0075,,,,0.003-0.008,,Soil_Water_
