,≤5,5-10,10-20,>20
167,9.8092,8.7766,99.15,
168,5.04,43.95,145.35,
169,0.7302,14.7,144.9,
170,5.5133,6.75,144.0,
171,5.1,7.2,93.45,
172,14.25,52.05,123.75,
173,19.05,38.7861,97.65,
174,4.95,16.3115,110.1,
175,8.4,23.8058,106.35,
176,56.4077,7.8,2.4,
177,8.7,,3.0,
178,0.45,,1.65,
179,0.15,,1.65,
180,0.22875,,12.1738,
181,1.246875,,8.1409,
182,0.487125,,2.1,
183,3.9,,1.65,
184,40.796,,1.2,
185,6.9084,,12.45,
186,5.4668,,13.8,
187,47.25,,12.15,
188,10.8862,,12.3,
189,12.3101,,9.3,
190,15.456,,15.9,
191,18.5346,,11.7,
192,10.05,,38.283,
193,6.45,,7.1927,
194,1.2,,4.65,
195,13.5,,13.35,
196,25.35,,2.3389,
197,42.6028,,2.3583,
198,4.5,,27.8852,
199,19.8,,5.4,
200,35.25,,12.3,
201,,,3.6,
202,,,0.9055,
203,,,1.13175,
204,,,0.586125,
205,,,7.05,
206,,,0.9,
207,,,2.7,
208,,,1.2,
209,,,8.4,
210,,,1.2,
211,,,6.0,
212,,,10.4652,
213,,,6.15,
214,,,8.1,
215,,,14.5995,
216,,,10.1855,
217,,,8.8235,
218,,,16.5,
219,,,10.8,
220,,,0.3,
221,,,32.195,
222,,,13.35,
