,Recovered,Not recovered
324,,246.6005
325,,277.1085
326,,133.909
327,,49.1745
328,,152.084
329,,289.028
330,,160.565
331,,135.803
332,,112.648
333,,219.222
334,,82.289
335,,110.016
336,,243.455
337,,317.348
338,,157.942
339,,51.297
340,,130.7775
341,,92.8223333333333
342,,94.686
343,,78.8445
344,,78.1288333333333
345,,82.492
346,,63.2998333333333
347,,51.8151666666667
348,,59.2986666666667
349,,51.7295
350,,97.1251666666667
351,,108.9515
352,,72.5933333333333
353,,96.4163333333333
354,,140.816833333333
355,,90.4251666666667
356,,101.607666666667
357,,111.772
358,,131.099666666667
359,,118.597166666667
360,,115.413666666667
361,,112.575333333333
362,,141.142166666667
363,,133.966833333333
364,,123.084833333333
365,,101.502833333333
366,,54.75
367,,16.35
368,,59.8
369,,9.7
370,,29.4333333333333
371,,28.0666666666667
372,,63.7333333333333
373,,24.1666666666667
374,,78.4666666666667
375,,30.2
376,,80.9833333333333
377,,38.7
378,,28.9
379,,17.873
380,,22.92
381,,28.452
382,,30.325
383,,33.256
384,,65.144
385,,47.676
386,,34.832
387,,60.9883333333333
388,,52.9633333333333
389,,30.6666666666667
390,,66.8166666666667
391,,68.7233333333333
392,,73.2333333333333
393,,67.31
394,,67.165
395,,47.6433333333333
396,,63.565
397,,67.5466666666667
398,,62.7383333333333
399,,42.7861666666667
400,,18.061
401,,20.6976666666667
402,,76.1713333333333
403,,12.1738
404,,4.8726
405,,7.0013
406,,8.1409
407,,18.2012
408,,4.9846
409,,51.2305
410,,3.4811
411,,9.8092
412,,19.2029
413,,17.0772
414,,38.283
415,,7.1927
416,,5.04
417,,0.7302
418,,5.5133
419,,17.6014
420,,5.7
421,,5.1
422,,14.25
423,,19.05
424,,1.8665
425,,2.3389
426,,2.3583
427,,56.4077
428,,2.4624
429,,22.5871
430,,27.8852
431,,72.5421
432,,13.8037
433,,11.0606
434,,4.6296
435,,0.22875
436,,0.252
437,,0.9055
438,,0.3185
439,,1.246875
440,,1.13175
441,,0.846
442,,0.586125
443,,0.472875
444,,0.487125
445,,2.7
446,,40.796
447,,6.9084
448,,5.4668
449,,32.1359
450,,5.816
451,,10.4652
452,,8.1
453,,11.1
454,,14.5995
455,,19.6278
456,,10.8862
457,,12.3101
458,,9.6575
459,,10.1855
460,,30.115
461,,63.1863
462,,15.456
463,,8.8235
464,,8.7766
465,,18.5346
466,,6.45
467,,10.8
468,,25.35
469,,42.6028
470,,38.7861
471,,32.195
472,,16.3115
473,,23.8058
474,,59.598
