,Reference,CKmean,CKsd,CKn,Tmean,Tsd,Tn,Residual_film_kg_ha,quantile,Crop_type,Residual_film_class_kg_ha,name
8,95,21.15333,0.95364,3.0,20.47667,0.34173,3.0,150,49-225,Maize,≤150,SOM_g_kg
9,95,21.15333,0.95364,3.0,19.39667,0.82503,3.0,300,225-600,Maize,150-320,SOM_g_kg
10,95,21.15333,0.95364,3.0,18.65833,1.07532,3.0,450,225-600,Maize,320-500,SOM_g_kg
11,95,21.15333,0.95364,3.0,18.38333,0.33471,3.0,600,225-600,Maize,500-1000,SOM_g_kg
88,107a,7.96002730582524,0.703125000000001,3.0,7.56067961165049,0.468750000000001,3.0,250,225-600,Cotton,150-320,SOM_g_kg
89,107a,7.96002730582524,0.703125000000001,3.0,6.61483616504854,0.39024575242719,3.0,500,225-600,Cotton,320-500,SOM_g_kg
90,107a,7.96002730582524,0.703125000000001,3.0,7.84777002427184,0.390245752427189,3.0,1000,600-2700,Cotton,500-1000,SOM_g_kg
91,107a,7.96002730582524,0.703125000000001,3.0,6.65807038834951,0.39100424757282,3.0,1500,600-2700,Cotton,>1000,SOM_g_kg
92,107a,7.96002730582524,0.703125000000001,3.0,6.48475424757282,0.46875,3.0,2000,600-2700,Cotton,>1000,SOM_g_kg
