,Cotton,Peanut,Maize,Vegetables,Potato,Tobacco,Others
143,59.8,,,17.5,,,
144,9.7,,,40.9,,,
145,29.4333333333333,,,6.6,,,
146,28.0666666666667,,,110.3,,,
147,63.7333333333333,,,4.8,,,
148,24.1666666666667,,,21.4,,,
149,78.4666666666667,,,10.5,,,
150,30.2,,,16.5,,,
151,80.9833333333333,,,30.8,,,
152,38.7,,,150.15,,,
153,28.9,,,37.26,,,
154,116.55,,,32.89,,,
155,96.75,,,36.89,,,
156,108.75,,,23.38,,,
157,99.15,,,30.5,,,
158,145.35,,,6.46,,,
159,144.9,,,4.24,,,
160,144.0,,,20.35,,,
161,93.45,,,1.931,,,
162,123.75,,,7.95,,,
163,97.65,,,13.35,,,
164,110.1,,,1.35,,,
165,106.35,,,2.62,,,
166,14.5995,,,2.25,,,
167,19.6278,,,5.68,,,
168,10.8862,,,7.02,,,
169,12.3101,,,1.38,,,
170,9.6575,,,1.84,,,
171,10.1855,,,1.39,,,
172,,,,6.61,,,
173,,,,34.3,,,
174,,,,19.55,,,
175,,,,31.05,,,
176,,,,17.25,,,
177,,,,26.0,,,
178,,,,22.2,,,
179,,,,22.6,,,
180,,,,27.28,,,
181,,,,35.7,,,
182,,,,31.28,,,
183,,,,4.35,,,
184,,,,10.95,,,
185,,,,0.6,,,
186,,,,0.3,,,
187,,,,0.45,,,
188,,,,1.35,,,
189,,,,0.45,,,
190,,,,1.5,,,
191,,,,0.75,,,
192,,,,0.3,,,
193,,,,0.3,,,
194,,,,1.65,,,
195,,,,3.3,,,
196,,,,17.873,,,
197,,,,22.92,,,
198,,,,28.452,,,
199,,,,30.325,,,
200,,,,33.256,,,
201,,,,65.144,,,
202,,,,47.676,,,
203,,,,34.832,,,
204,,,,60.9883333333333,,,
205,,,,52.9633333333333,,,
206,,,,30.6666666666667,,,
207,,,,66.8166666666667,,,
208,,,,68.7233333333333,,,
209,,,,73.2333333333333,,,
210,,,,67.31,,,
211,,,,67.165,,,
212,,,,47.6433333333333,,,
213,,,,63.565,,,
214,,,,67.5466666666667,,,
215,,,,62.7383333333333,,,
216,,,,42.7861666666667,,,
217,,,,18.061,,,
218,,,,20.6976666666667,,,
219,,,,76.1713333333333,,,
220,,,,1.2,,,
221,,,,1.5,,,
222,,,,2.1,,,
223,,,,1.65,,,
224,,,,2.1,,,
225,,,,1.05,,,
226,,,,1.95,,,
227,,,,1.65,,,
228,,,,1.2,,,
229,,,,1.65,,,
230,,,,1.2,,,
231,,,,1.2,,,
232,,,,2.55,,,
233,,,,12.45,,,
234,,,,13.8,,,
235,,,,12.15,,,
236,,,,12.3,,,
237,,,,9.3,,,
238,,,,11.4,,,
239,,,,11.25,,,
240,,,,8.1,,,
241,,,,9.6,,,
242,,,,10.5,,,
243,,,,10.5,,,
244,,,,10.5,,,
245,,,,10.2,,,
246,,,,10.65,,,
247,,,,11.85,,,
248,,,,11.7,,,
249,,,,4.9846,,,
250,,,,51.2305,,,
251,,,,16.8,,,
252,,,,14.25,,,
253,,,,19.05,,,
254,,,,4.65,,,
255,,,,4.05,,,
256,,,,0.3,,,
257,,,,4.95,,,
258,,,,8.4,,,
259,,,,13.35,,,
260,,,,1.8665,,,
261,,,,2.3389,,,
262,,,,15.15,,,
263,,,,8.7,,,
264,,,,12.3,,,
265,,,,3.6,,,
266,,,,0.15,,,
267,,,,1.246875,,,
268,,,,1.13175,,,
269,,,,1.8,,,
270,,,,3.9,,,
271,,,,1.2,,,
272,,,,0.9,,,
273,,,,2.7,,,
274,,,,1.2,,,
275,,,,8.4,,,
276,,,,1.35,,,
277,,,,1.2,,,
278,,,,6.0,,,
279,,,,32.1359,,,
280,,,,5.816,,,
281,,,,10.4652,,,
282,,,,6.15,,,
283,,,,47.25,,,
284,,,,8.8235,,,
285,,,,8.7766,,,
286,,,,18.5346,,,
287,,,,43.95,,,
288,,,,85.05,,,
289,,,,14.7,,,
290,,,,6.75,,,
291,,,,16.5,,,
292,,,,10.05,,,
293,,,,7.2,,,
294,,,,1.5,,,
295,,,,52.05,,,
296,,,,1.2,,,
297,,,,10.8,,,
298,,,,25.35,,,
299,,,,0.3,,,
300,,,,16.3115,,,
301,,,,23.8058,,,
302,,,,59.598,,,
303,,,,7.8,,,
304,,,,4.5,,,
305,,,,19.8,,,
306,,,,35.25,,,
307,,,,13.35,,,
