,Reference,CKmean,CKsd,CKn,Tmean,Tsd,Tn,Residual_film_kg_ha,quantile,Crop_type,Residual_film_class_kg_ha,name
8,95,40.8,1.4,3.0,44.0,0.7,3.0,150,49-225,Maize,≤150,Olsen-P_mg_kg
9,95,40.8,1.4,3.0,37.25,0.35,3.0,300,225-600,Maize,150-320,Olsen-P_mg_kg
10,95,40.8,1.4,3.0,28.825,1.375,3.0,450,225-600,Maize,320-500,Olsen-P_mg_kg
11,95,40.8,1.4,3.0,26.0,1.3,3.0,600,225-600,Maize,500-1000,Olsen-P_mg_kg
88,107a,13.2291666666667,0.7291666666666,3.0,12.3958333333333,0.3125,3.0,250,225-600,Cotton,150-320,Olsen-P_mg_kg
89,107a,13.2291666666667,0.7291666666666,3.0,10.2083333333333,0.625,3.0,500,225-600,Cotton,320-500,Olsen-P_mg_kg
90,107a,13.2291666666667,0.7291666666666,3.0,9.58333333333333,0.72916666666667,3.0,1000,600-2700,Cotton,500-1000,Olsen-P_mg_kg
91,107a,13.2291666666667,0.7291666666666,3.0,6.66666666666667,0.83333333333333,3.0,1500,600-2700,Cotton,>1000,Olsen-P_mg_kg
92,107a,13.2291666666667,0.7291666666666,3.0,5.3125,0.52083333333333,3.0,2000,600-2700,Cotton,>1000,Olsen-P_mg_kg
