"","name","subset","value","summary","b","I2","I2b","I2w","vb","lb","ub","n","sigma2_1","sigma2_2","tau2","QEE","QEp","pval","M_label"
"24",NA,NA,"0.015-0.400",FALSE,1.2650257389208,"95.31","37.74","57.57",0.00215214203962578,1.15507747225959,1.38543964241774,"74","0.0168854605483978","0.0257541247147226",0,"1458.17063155173",1.32437115156247e-271,4.02840058347991e-07,"1.27  [ 1.16 , 1.39 ]"
"25",NA,"Film thickness",NA,TRUE,1.35644629490377,"99.91","75.48","24.43",0.00265603609989943,1.22612415046851,1.50062010462408,"266","0.102722994074293","0.0332561760389848",0,"33507.5741276366",0,3.30765727653946e-09,"1.36  [ 1.23 , 1.5 ]"
"26","Total",NA,NA,TRUE,1.33581169329574,"99.84","67.75","32.09",0.00102783255719572,1.25445725041355,1.4224421592345,"440","0.0681256802932304","0.0322655395321601",0,"39633.1306827472",0,1.69780058294878e-19,"1.34  [ 1.25 , 1.42 ]"
"27",NA,NA,"Cereal crop",FALSE,1.07791759618419,"72.39","32.7","39.69",9.27152593604743e-05,1.05776561963756,1.09845349725172,"182","0.00120712014818226","0.00146482650960043",0,"420.157012342372",1.5706878537172e-46,6.58037822713064e-15,"1.08  [ 1.06 , 1.1 ]"
"28",NA,NA,"Cash crop",FALSE,1.09732720177358,"63.01","63.01","0",0.000380582646790682,1.05616180192798,1.14009708129394,"123","0.00525053651033329","1.36127674869866e-12",0,"44.5690571654829",0.00457230796016295,1.92767880404176e-06,"1.1  [ 1.06 , 1.14 ]"
"29",NA,"Crop type",NA,TRUE,1.08490348945552,"69.6","46.3","23.3",7.50332730135478e-05,1.06663995912648,1.10347973687079,"305","0.00207415601194226","0.00104383465992523",0,"523.497530718595",4.99833733476668e-50,5.07172525436413e-21,"1.08  [ 1.07 , 1.1 ]"
"30",NA,NA,"Transparent PE",FALSE,1.08757517818378,"57.44","24.4","33.04",0.00011592573589511,1.06486487280051,1.11076982480487,"137","0.00140513407343235","0.0019027500630371",0,"133.105946770798",8.5416214239635e-11,6.33385994402519e-15,"1.09  [ 1.06 , 1.11 ]"
"31",NA,NA,"Black PE",FALSE,1.07462787076087,"76.71","17.78","58.93",0.00010529332581996,1.05323117386255,1.09645924776506,"59","0.000354372912641137","0.00117466341035798",0,"285.073288393132",4.54201412185941e-42,2.31276473745759e-12,"1.07  [ 1.05 , 1.1 ]"
"32",NA,NA,"Degradable",FALSE,1.08055306945628,"47.01","47.01","0",0.000585524984848313,1.03050249320773,1.13303455703141,"49","0.0055700053090565","3.45591851833351e-12",0,"<0",0.606253081378594,0.00136629387739753,"1.08  [ 1.03 , 1.13 ]"
"33",NA,NA,"Others",FALSE,1.12055373346508,"18.1","1.78","16.32",0.000131209099653809,1.09567680445717,1.1459954837728,"41","6.46287473389651e-05","0.000591392394870269",0,"<0",0.915892871028225,2.8783687722957e-23,"1.12  [ 1.1 , 1.15 ]"
